e04 , 形容極度不悅。
e04 , 表示心中極度不悅的咒罵語。
PUMA , 性關係混亂的女子。侮辱性用語。
PUMA , 知名運動用品品牌。
一一 , 表一個接一個沒有間斷。
一 , 事物的全體。
一些 , 表不確定的小數量。
一些 , 表程度輕微，常接在形容詞之後。
一似 , 引介比喻前述事物的狀態。
一併 , 表不同的主體在同一空間或進行同一事件。
一來 , 關聯連接詞。連接第一項列舉事項。常用「一來…，二來…」。
一 , 全體中的所有個體單位，強調各個個體都適用。
一共 , 表全部計數的總結等同後述數值。
一再 , 表一次又一次做相同動作或發生同類事件。
一切 , 全部，所有。
一則 , 關聯連接詞。連接列舉事項。常用「一則…，二則…」、「一則…，再則…」。
一半 , 事情進行到中途。
一半 , 二分之一。
一口氣 , 表不間斷地完成後述事件。
一同 , 表不同的主體在同一空間或進行同一事件。
一同 , 表因具有相同的前述特質而共同進行特定事件。常用「有…一同」。
一同 , 表在同一個處所。
一向 , 表事件從過去持續到現在。
一味 , 表專注於後述事件而忽略其他方面，通常隱含負面含意。
一塊兒 , 表不同的主體在同一空間或進行同一事件。
一塊兒 , 表在同一個處所。
一塊 , 表不同的主體在同一空間或進行同一事件。
一塊 , 表在同一個處所。
一大早 , 時間詞。上午較早的時段，正確時間依描述對象而異。
一如 , 引介相同的事件情況。
一如 , 引介與前述事物有高相似度的後述事物作為譬喻。
一如 , 形容真如法性之妙理平等無差別。
一定 , 形容不會改變的。
一定 , 形容特別指出的。
一定 , 形容程度頗高的，常與「有」連用。
一定 , 普通名詞。明確的規定。
一定 , 表對推論的肯定，沒有例外。
一家子 , 代指一個家庭中的所有成員。
一 , 專有名詞。姓。
一帶 , 位置詞。特定地點及與其相連的地區。
一 , 序數。順序排在第一。
一度 , 表曾經有過一次。
一律 , 形容相同的。
一律 , 表後述的條件適用全體，沒有例外。
一心一意 , 表投入所有的心思，毫無保留。
一心 , 表投入所有的心思，毫無保留。
一心 , 表有共同理念。
一手 , 形容原始的。
一手 , 普通名詞。方法、手段。
一手 , 普通名詞。滿手。
一手 , 普通名詞。與手相關的才藝。
一手 , 表一個人單獨地。
一手 , 表手部的一次迅速動作。
一手 , 關聯連接詞。連接同時進行兩個事件。常用「一手…一手…」。
一 , 數目字。整數，最小的正整數。
一方面 , 關聯連接詞。連接同時進行的不同事件或觀點。常用「一方面…，一方面…」、「一方面….，另一方面…」。
一旁 , 表靠近參考點的地方。
一旦 , 關聯連接詞。連接假設事件，做為時間條件。
一早 , 表天亮之後，早晨的前半段。
一昧 , 表專注於後述事件而忽略其他方面，通常隱含負面含意。
一 , 普通名詞。一直線所呈現出的一字形狀。
一概 , 表適用於全體，沒有例外。
一模一樣 , 形容比較的對象完全相同。
一樣 , 形容沒有差別的。
一樣 , 表處於相同的狀況。
一無所知 , 完全沒有訊息或知識。
一生 , 普通名詞。從出生到死亡的時間。
一直 , 表不改變方向向後述目的地運動。
一直 , 表事件持續不間斷。
一直 , 表事件狀態由前述描述發展到後述描述。常與「到」連用。
