所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
伏 上半身靠在後述對象上，把重量由物體或他人支撐。 那個姑娘<伏>在墳上哭得很悲傷。
另 上文未提到的同類指涉。 餐廳噪音的<另>一來源是摔擲不銹鋼餐盤的聲響。
示 上級命令下級執行所描述的事件。 請太上<示>下，卑座準備應變。
招 上級要求後述對象前來。 孔融因此聲名大噪，州郡<招>他去做官，孔融皆婉拒不就。
將 下象棋時，捕捉對方的將棋或帥棋前的提醒語。 我以守為攻，爸爸的將軍被我一<將>就死棋了。
不容 不允許後述事件發生。 雖然這四場比賽湖都敗，但康貝爾的得分能力卻<不容>否認。
棄 不再為原本努力的後述對象堅持。 他曾是義大利有名的詩人，<棄>詩從影，並沒有辜負自己的期待。
照抄 不加修改地仿造。 「宜蘭厝」的九個案子，是否會因此又變成臺灣農舍不顧風土、一味<照抄>的模子？
討厭 不喜歡。 時間久了，凡是認識他的人都<討厭>他，怕他來白吃白住。
以外 不在前述對象所包含的空間範圍。 私立單位似乎比較好，但在大都市<以外>的地方仍然很少見。
以外 不在前述的機構或領域範圍。 Ｂ型-巨蟹座對於同伴<以外>的人很小心，不容易開展心胸。
拒 不接受後述對象。 有錢人多築高牆重門自限，他既不富有，不怕有所失，所以不<拒>來者。
沒 不擁有後述對象。 在那時我們都<沒>錢，日子過的清苦但快樂。
多少 不確定數量。 山東的情形比河南好不了<多少>。
一點 表不確定的小數量。 納采就是男家向女家送<一點>小禮物。
忽視 不給予應有的重視。 如何將退休納入生涯規劃之內，則是一個不容<忽視>的課題。
停 不繼續做後述動作。 我曾經一度出現暫時<停>寫部落格的想法，不過時不時還是會手癢心癢。
歡 不講理地吵鬧或提出要求。 如果我在忙，她又在<歡>，我也會放給她哭。
繞道 不走近路，而走比較遠的路。 當時的大甲鎮瀾宮已經<繞道>日本，一行人浩浩蕩蕩前來進香。
違背 不遵守後述規定或不履行承諾。 中國傳統重視家庭觀念，若是<違背>這點，中國可能陷於四分五裂。
