cwn.Synset('團.4') 計算聚集在一起從事特定活動的人的單位。 兩<團>的巡迴演唱地點，都包括日本、台灣及亞洲等地。
cwn.Synset('專任.0') 形容全時間擔任本職的。 初期分南北兩條路線，每星期日下午由<專任>教授講解，帶民眾認識古蹟。
cwn.Synset('土.0') 屬於國家、團體或私人所有的土地。 溥天之下，莫非王<土>。
cwn.Synset('土.2') 形容比喻古老傳統的、不符合當時潮流的。 中國很多<土>規定都是不合法的，例如旅店不准男女同住一室，就是老年男女也要出示結婚證。
cwn.Synset('園.2') 以訓練學齡前兒童養成良好生活習慣及培養基本學習能力為主要目的的機構。 因為董事們均為一年一任，剛對<園>中的事務與院方關係弄清楚不久就要易人了。
cwn.Synset('圓.0') 實現後述願望。 他想一<圓>從小想飛的願望，結果卻大失所望。
cwn.Synset('圓.1') 形容外型是圓的。 <圓>的東西容易滾動。
cwn.Synset('圓.2') 形容沒有稜角的。 他忽然注意到河邊有一個又大又<圓>，長滿青苔的怪石頭。
cwn.Synset('沿街.1') 表同一事件在經過的街道中重複發生。 台北市的垃圾收集是由環保局清潔隊<沿街>播放少女祈禱音樂。
cwn.Synset('圖.2') 用來代表或解釋抽象概念的一組線條、形狀與顏色。 直方<圖>是一種將數據以簡單方式呈現的工具。
cwn.Synset('國.2') 擁有領土、人民、主權和政府四個要素的政治組織。 中研院院士的學術水平在世界各<國>中算是上乘的。
cwn.Synset('掩埋.0') 特定物體完全掩蓋在其他特定物體上。 偶而也重新去發掘長期被<掩埋>於灰燼之下的一些殘骸遺跡。
cwn.Synset('圍.0') 藉由實體連結或路徑來定出一個封閉的形狀。 共產黨這樣做，本意是要將整日<圍>著鍋台轉的婦女解放出來。
cwn.Synset('圍.3') 計算左右兩隻手的拇指和食指相對合攏的長度。 這個茶壺約有二<圍>大小。
cwn.Synset('期望.0') 對對象未來發展能達到目標的希望。 創業投資應是大家共同的<期望>，而不是老闆個人的專利。
cwn.Synset('圳.1') 人工挖掘用來灌溉農田的水道。 農田水利會的主要工作，在維護農民灌溉<圳>路的給水，以幫助農民。
cwn.Synset('地.1') 具有特定特質所描述的，或以特定地點為參考點的區域範圍。 單是北京一<地>，名叫「劉淑貞」的女子就有一萬四千個。
cwn.Synset('心動.0') 對特定對象開始產生欲求。 各位天文同好們，<心動>不如馬上行動，讓我們一起來觀測吧！
cwn.Synset('中心.1') 具有特定設備，提供特定資源的機構或單位的建築物及建築物所在的位置。 今晚跑去高雄中正文化<中心>至德堂，去聽漢聲合唱團的音樂會。
cwn.Synset('圭.1') 中國古代根據日影的長短測量節氣或一年時間的長短天文儀器。 用直立於平地的「表」和一個正南北方向平放的尺<圭>組成專門用來作為觀測每日太陽影子變化的工具。
cwn.Synset('醫生.0') 比喻能修補前述對象或解決特定問題的特定對象。 他擅長修電腦所以大家叫他電腦<醫生>。
cwn.Synset('奉勸.0') 委婉建議他人做後述事件。 既然洗澡有那麼多好處，在此<奉勸>諸君，還是勤勞一點，每天洗澡吧！
cwn.Synset('亂.0') 以反抗當局政權為目的所發動的武力行動。 明中葉的戚家軍要求各級將士衛國保民，除暴定<亂>
cwn.Synset('亂.4') 比喻使兩件以上的事情無法釐清。 據說九墳中只有一墳是真的，其他的意在<亂>真假。
cwn.Synset('棵.0') 計算有明顯主幹植物的單位。 董奉所住的那座山上，給人種起了幾萬<棵>杏樹，成了一片茂盛的杏林。
cwn.Synset('了.2') 表示變化或出現新的情況，置於句末或句中停頓處。 搶奪去了能夠弄好倒也罷了，偏偏越弄越糟，最後幾乎讓外國人給瓜分<了>。
cwn.Synset('予.0') 代動詞，後接含移轉動作的名詞事件。 楊漢指出，精神衛生法明文規定，對社區復健精神病患，保險機關應<予>給付，為此，衛生署已函文勞保局辦理。
cwn.Synset('伊拉克.0') 國名，位於亞洲西部，首都為巴格達。 聯合國調查人員在<伊拉克>境內發現霍亂及肺結核菌。
cwn.Synset('二.1') 數目字。整數，為一加一的和。 靖廬拒絕警方將他送請留置，等待遣返，<二>度返回台北市警局拘留所留置。
cwn.Synset('于.3') 引介後述事件的範圍。 顯然，詞比律詩更適<于>詠唱，更具有音樂性。
cwn.Synset('于.6') 引介被動句中的肇始者或施事者。 中國去年263名婦女死<于>家庭暴力。
cwn.Synset('云.0') 前述文獻或引文中提到。 楚辭宋玉的招魂「翡翠珠被，爛齊光些」所<云>之翡翠就是用我的羽毛作成的飾品。
cwn.Synset('井.1') 古時八家為一井，來自井田制。 八家一<井>，四<井>一邑。
cwn.Synset('井.4') 往地底下開挖為取水的深洞，通常有矮牆圍起且有取水設備。 小時候，我也曾在<井>邊汲過水。
cwn.Synset('井.5') 易經卦名，易經六十四卦之一，巽下坎上。 易經<井>卦，巽下坎上，養而不窮也。
cwn.Synset('為由.0') 以前述敘述作為理由。 校方以資訊、電腦<為由>，認為資管系學費要比照理工學院。
cwn.Synset('亞.0') 形容分類在主類之下的。 這內容是有關台灣在一九九三年HIV１愛滋病病毒其<亞>型分佈的探討。
cwn.Synset('亞.2') 比賽中第二名的名次。 大成六隊打雙循環主、客場賽，冠軍隊可得三十萬元獎金，<亞>、季軍各得二十萬與十萬元。
cwn.Synset('亡.2') 比喻使後述對象終止不再存在。 像秦朝時盛傳「<亡>秦者胡」，秦始皇以為「胡」指的是北方遊牧民族，便派兵攻打匈奴。
cwn.Synset('棒.1') 使用棒子和棒球進行的一種球類運動，由投手投球，多位打者輪流擊球。 由於台北市立棒球場已不夠使用，加以<棒>迷不斷增加，因此不贊成拆除市立體育場內的棒球場。
cwn.Synset('亢.0') 形容態度驕傲自大，看不起他人。 我以這樣對待自己國民的政策而很卑很<亢>。
cwn.Synset('亢.1') 形容音高高於比較對象的。 女高音高而不<亢>的獨白，好像唱到心裡頭去了。
cwn.Synset('亥.0') 地支的第十二位。 自立冬後至大雪前出生的，屬於生在十月（<亥>月）。
cwn.Synset('交.5') 由弦樂、木管、銅管、打擊樂器組成的大規模器樂演奏團體。 每次南市<交>音樂會都會將上半場舞台與優秀獨奏家分享。
cwn.Synset('亦.0') 連接兩個有關連性的事件。 不可充電逾量，<亦>不可充電不足。
cwn.Synset('亨.1') 計算電感的單位。一亨利等於封閉電路上之電流以每秒一安培之變率變化所生之電動勢為一伏特時，該電路之電感。 如果你真的有2<亨>的電感，算一算要多大的線圈。
cwn.Synset('享.1') 比喻人死去的時候已活到後述年齡。 研究報告預言，人類下世紀<享>120歲高壽。
cwn.Synset('亭.1') 有頂無牆的建築物，主要供人休息與觀賞風景。 循石徑前進至滄浪<亭>，<亭>上橫匾額為俞曲園手書。
cwn.Synset('京.3') 日本城市名，位於日本本州的關西的中央，京都府的府廳。 阪奈<京>名加伊勢鳥羽志摩四天自選遊，自大阪出發，名古屋返台。
cwn.Synset('情有獨鍾.0') 在同一類對象中，特別喜愛其中的特定對象。 第一家庭對這間法國餐廳<情有獨鍾>。
cwn.Synset('為甚.0') 呈現最嚴重的情況。 鼻竇經過照射後也會產生「鼻竇炎」的症候，尤以額竇<為甚>。
cwn.Synset('棄.2') 主事者不履行對依靠自己的後述對象應盡的責任或義務。 動物園中，受驚擾的母虎和豹子<棄>仔事件，屢見不鮮。
cwn.Synset('為生.0') 把前述對象當作職業。 陳老爹平日靠打獵<為生>，特別養了一頭有九隻耳朵的獵狗。
cwn.Synset('棉.0') 以棉絮或其他類似材質製成的紡織品。 上海<棉>價頓跌，洋行紛紛倒閉，經濟受到巨大打擊。
cwn.Synset('人.1') 人的心理狀態或意識。 傷患送到醫院的時候，<人>已經昏迷過去了。
cwn.Synset('棍.1') 比喻在前述領域進行不正當行為的人。 湖南衡陽縣一名賭<棍>賭輸了錢竟去行竊，被對方發現打成重傷。
